,Date,Session,Trial,Subject_Involved,Participants,Subject,Start_TTL,Stop_TTL
0,2022.11.08,A,T01,A,SE001A,A,53.621,293.415824
1,2022.11.08,A,T02,BC,SE001B,B,52.505074,429.007159
2,2022.11.08,A,T02,BC,SE001C,C,29.253039,405.756262
3,2022.11.08,A,T03,B,SE001B,B,28.0201,288.289622
4,2022.11.08,A,T04,C,SE001C,C,8.269579,263.656877
5,2022.11.08,A,T05,AB,SE001A,A,0,0
6,2022.11.08,A,T05,AB,SE001B,B,0,0
7,2022.11.08,A,T06,AC,SE001A,A,25.435073,472.629814
8,2022.11.08,A,T06,AC,SE001C,C,13.419051,460.614294
9,2022.11.09,A,T01,AC,SE002A,A,64.354224,474.140406
10,2022.11.09,A,T01,AC,SE002C,C,46.332542,456.119949
11,2022.11.09,A,T07,A,SE002A,A,21.740373,279.215055
12,2022.11.09,A,T03,B,SE002B,B,15.298265,290.032628
13,2022.11.09,A,T04,C,SE002C,C,8.494404,283.12866
14,2022.11.09,A,T05,BC,SE002B,B,21.272211,407.757186
15,2022.11.09,A,T05,BC,SE002C,C,8.08204,394.566747
16,2022.11.09,A,T06,AB,SE002A,A,20.343625,462.197292
17,2022.11.09,A,T06,AB,SE002B,B,7.242292,449.095382
18,2022.11.14,M,T01,C,SE002C,C,0,0
19,2022.11.14,M,T02,B,SE002B,B,19.989217,302.519079
20,2022.11.14,M,T03,AC,SE002A,A,35.999093 471,471.262901
21,2022.11.14,M,T03,AC,SE002C,C,0,0
22,2022.11.14,M,T04,AB,SE002A,A,42.943642,446.688034
23,2022.11.14,M,T04,AB,SE002B,B,17.017367,420.760322
24,2022.11.14,M,T05,BC,SE002B,B,28.330676,407.513512
25,2022.11.14,M,T05,BC,SE002C,C,0,0
26,2022.11.14,M,T06,A,SE002A,A,16.0438,264.805957
27,2022.11.15,M,T01,A,SE004A,A,16.55878,291.6035
28,2022.11.15,M,T02,BC,SE004B,B,31.07073,423.278278
29,2022.11.15,M,T02,BC,SE004C,C,16.519466,408.722339
30,2022.11.15,M,T03,B,SE004B,B,11.795111,309.192042
31,2022.11.15,M,T04,C,SE004C,C,13.012366,271.652142
32,2022.11.15,M,T05,AC,SE004A,A,31.452947,405.173174
33,2022.11.15,M,T05,AC,SE004C,C,14.302529,388.023559
34,2022.11.15,M,T06,AB,SE004A,A,69.326279,453.622322
35,2022.11.15,M,T06,AB,SE004B,B,15.61475,399.907343
36,2022.11.15,A,T01,AC,SE005A,A,16.558787,291.603535
37,2022.11.15,A,T01,AC,SE005C,C,135.431288,509.700973
38,2022.11.15,A,T02,BC,SE005B,B,31.07073,423.278278
39,2022.11.15,A,T02,BC,SE005C,C,0,0
40,2022.11.15,A,T03,AB,SE005A,A,27.278443,418.904676
41,2022.11.15,A,T03,AB,SE005B,B,11.795111,309.192042
42,2022.11.15,A,T04,C,SE005C,C,0,0
43,2022.11.15,A,T05,B,SE005B,B,11.486256,272.194045
44,2022.11.15,A,T06,A,SE005A,A,69.326279,453.622322
45,2022.11.17,M,T01,A,SE006A,A,117.399756,450.495061
46,2022.11.17,M,T05,AC,SE006A,A,104.077067,529.658904
47,2022.11.17,M,T05,AC,SE006C,C,0,0
48,2022.11.17,M,T04,C,SE006C,C,0,0
49,2022.11.21,A,T01,AC,SE007A,A,44.582365,440.498561
50,2022.11.21,A,T01,AC,SE007C,C,14.11247,410.02968
51,2022.11.21,A,T02,BC,SE007B,B,11.774512,396.612768
52,2022.11.21,A,T02,BC,SE007C,C,34.475449,419.30838
53,2022.11.21,A,T03,B,SE006B,B,11.431,297.491
54,2022.11.21,A,T04,A,SE007A,A,5.587384,290.246825
55,2022.11.21,A,T05,AB,SE006A,A,30.393231,395.195729
56,2022.11.21,A,T05,AB,SE007B,B,20.584,385.384
57,2022.11.21,A,T06,C,SE007C,C,18.070833,274.70785
58,2022.11.24,M,T01,B,SE008B,B,59.476,361.968
59,2022.11.24,M,T02,AC,SE008A,A,14.237979,435.433736
60,2022.11.24,M,T02,AC,SE008C,C,0,0
61,2022.11.24,M,T03,A,SE008A,A,12.258087,256.117032
62,2022.11.24,M,T04,BC,SE008B,B,24.486,403.331
63,2022.11.24,M,T04,BC,SE008C,C,0,0
64,2022.11.24,M,T05,AB,SE008A,A,71.299869,461.751379
65,2022.11.24,M,T05,AB,SE008B,B,58.495,448.925
66,2022.11.24,M,T06,C,SE008C,C,0,0
67,2022.11.28,A,T01,BC,SE009B,B,28.564,429.792
68,2022.11.28,A,T01,BC,SE009C,C,12.283897,413.524752
69,2022.11.28,A,T02,A,SE009A,A,12.417548,276.903482
70,2022.11.28,A,T03,C,SE009C,C,12.88156,289.350714
71,2022.11.28,A,T04,B,SE009B,B,43.171,300.419
72,2022.11.28,A,T05,AC,SE009A,A,27.577573,379.613041
73,2022.11.28,A,T05,AC,SE009C,C,15.021271,367.056945
74,2022.11.28,A,T06,AB,SE009A,A,26.92817,399.043136
75,2022.11.28,A,T06,AB,SE009B,B,15.726,387.843
76,2022.11.29,A,T01,AB,SE010A,A,31.869142,414.874242
77,2022.11.29,A,T01,AB,SE010B,B,15.123,398.129
78,2022.11.29,A,T04,B,SE009B,B,32.762,296.846
79,2022.11.29,A,T06,A,SE010A,A,27.802985,282.670828
80,2022.11.29,A,T02,AC,SE010A,A,30.578652,394.637726
81,2022.11.29,A,T02,AC,SE010C,C,19.405246,383.466163
82,2022.11.29,A,T05,BC,SE010B,B,42.812,413.884
83,2022.11.29,A,T05,BC,SE009C,C,21.603051,392.677536
84,2022.11.29,A,T03,C,SE010C,C,35.205121,313.022159
85,2022.11.30,A,T01,C,SE011C,C,12.945044,323.155347
86,2022.11.30,A,T02,AB,SE011A,A,0,0
87,2022.11.30,A,T02,AB,SE011B,B,93.435,502.965
88,2022.11.30,A,T03,AC,SE011A,A,28.703639,382.709866
89,2022.11.30,A,T03,AC,SE011C,C,15.39622,369.405661
90,2022.11.30,A,T04,B,SE011B,B,21.656653,272.369345
91,2022.11.30,A,T05,A,SE011A,A,13.797311,237.9696
92,2022.11.30,A,T06,BC,SE011B,B,64.011,449.583
93,2022.11.30,A,T06,BC,SE011C,C,0,0
94,2022.12.01,A,T01,B,SE012B,B,56.26955,362.528777
95,2022.12.01,A,T02,AC,SE011A,A,215.891801,586.732844
96,2022.12.01,A,T02,AC,SE012C,C,10.794806,381.636877
97,2022.12.01,A,T03,A,SE011A,A,16.570824,263.062503
98,2022.12.01,A,T04,C,SE011C,C,10.384493,285.62419
99,2022.12.01,A,T05,BC,SE011B,B,21.404992,477.011732
100,2022.12.01,A,T05,BC,SE012C,C,11.951554,467.556224
101,2022.12.01,A,T06,AB,SE012A,A,30.540132,413.636909
102,2022.12.01,A,T06,AB,SE012B,B,16.8685,399.965507
103,2022.12.05,M,T01,AC,SE013A,A,0,0
104,2022.12.05,M,T01,AC,SE013C,C,0,0
105,2022.12.05,M,T02,BC,SE013B,B,0,0
106,2022.12.05,M,T02,BC,SE013C,C,0,0
107,2022.12.05,M,T03,B,SE013B,B,9.348739,271.751246
108,2022.12.05,M,T04,C,SE013C,C,0,0
109,2022.12.05,M,T05,AB,SE013A,A,14.035486,394.861234
110,2022.12.05,M,T05,AB,SE013B,B,50.422083,431.248443
111,2022.12.05,M,T06,A,SE013A,A,0,0
112,2022.12.07,M,T01,A,SE014A,A,93.245653,396.411003
113,2022.12.07,M,T02,B,SE014B,B,26.552541,332.038781
114,2022.12.07,M,T03,AB,SE014A,A,10.181789,480.305679
115,2022.12.07,M,T03,AB,SE014B,B,21.90176,492.026193
116,2022.12.07,A,T03,B,SE016B,B,14.653505,259.079641
117,2022.12.07,A,T05B,AB,SE016A,A,0,0
118,2022.12.07,A,T05B,AB,SE016B,B,43.913954,405.123382
119,2022.12.07,A,T06A,A,SE016A,A,65.84866,354.317137
120,2022.12.08,M,T01,C,SE017C,C,16.730634,276.069429
121,2022.12.08,M,T02,AB,SE017A,A,51.170356,472.14161
122,2022.12.08,M,T02,AB,SE017B,B,28.773491,449.745357
123,2022.12.08,M,T03,B,SE017B,B,8.629416,264.154356
124,2022.12.08,M,T04,AC,SE017A,A,0,0
125,2022.12.08,M,T04,AC,SE017C,C,0,0
126,2022.12.08,M,T05,A,SE017A,A,8.772056,275.397551
127,2022.12.08,M,T06,BC,SE017B,B,22.240655,423.598944
128,2022.12.08,M,T06,BC,SE017C,C,11.916659,413.275321
129,2022.12.08,A,T01,B,SE018B,B,8.520576,289.956979
130,2022.12.08,A,T02,AC,SE018A,A,35.311264,445.426141
131,2022.12.08,A,T02,AC,SE018C,C,0,0
132,2022.12.08,A,T03,AB,SE018A,A,21.787146,391.544528
133,2022.12.08,A,T03,AB,SE018B,B,10.036202,379.799361
134,2022.12.08,A,T04A,BC,SE018B,B,0,0
135,2022.12.08,A,T04A,BC,SE018C,C,44.11,437.748
136,2022.12.08,A,T05,A,SE018A,A,20.912413,319.317238
137,2022.12.08,A,T06,C,SE018C,C,10.978938,311.755421
138,2022.12.19,A,T01B,AB,SE019A,A,56.199374,444.953922
139,2022.12.19,A,T01B,AB,SE019B,B,0,0
140,2022.12.19,A,T03,A,SE019A,A,40.828858,282.02673
141,2022.12.19,A,T02,C,SE019C,C,31.43603,244.985514
142,2022.12.19,A,T04B,AC,SE019A,A,0,0
143,2022.12.19,A,T04B,AC,SE019C,C,12.23382,351.961
144,2022.12.19,A,T05,B,SE019B,B,0,0
145,2022.12.19,A,T06,BC,SE019B,B,0,0
146,2022.12.19,A,T06,BC,SE019C,C,0,0
147,2022.12.20,A,T02,A,SE020A,A,0,0
148,2022.12.20,A,T03,B,SE020B,B,0,0
149,2022.12.20,A,T04,AB,SE020A,A,31.274248,438.068139
150,2022.12.20,A,T04,AB,SE020B,B,156.767739,427.523431
151,2022.12.21,M,T01,AC,SE021A,A,36.667439,535.908038
152,2022.12.21,M,T01,AC,SE021C,C,0,0
153,2022.12.21,M,T02,B,SE021B,B,0,0
154,2022.12.21,M,T03,A,SE021A,A,7.1735,273.484357
155,2022.12.21,M,T04,C,SE021C,C,55.763844,326.717387
156,2022.12.21,M,T05,BC,SE021B,B,0,0
157,2022.12.21,M,T05,BC,SE021C,C,0,0
158,2022.12.21,M,T06,AB,SE021A,A,22.428582,432.685068
159,2022.12.21,M,T06,AB,SE021B,B,0,0
160,2023.01.03,A,T01,B,SE022B,B,83.547207,391.358507
161,2023.01.03,A,T03B,A,SE022A,A,53.034579,338.025152
162,2023.01.03,A,T04,AB,SE022A,A,142.189721,516.57094
163,2023.01.03,A,T04,AB,SE022B,B,129.031573,503.426799
164,2023.01.16,A,T01,BC,SE023B,B,124.803753,553.197559
165,2023.01.16,A,T01,BC,SE023C,C,10.601534,438.99554
166,2023.01.16,A,T02,AB,SE022A,A,55.897637,454.061405
167,2023.01.16,A,T02,AB,SE023B,B,44.005875,442.169321
168,2023.01.16,A,T03,C,SE023C,C,20.055,279.923
169,2023.01.16,A,T04,AC,SE023A,A,24.115169,386.884426
170,2023.01.16,A,T04,AC,SE023C,C,12.506075,375.281464
171,2023.01.16,A,T05,A,SE023A,A,12.490881,267.987725
172,2023.01.16,A,T06,B,SE023B,B,8.461418,288.769804
173,2023.01.17,A,T01,AB,SE024A,A,25.193658,480.017741
174,2023.01.17,A,T01,AB,SE024B,B,38.986248,493.808918
175,2023.01.17,A,T02,B,SE024B,B,0,0
176,2023.01.17,A,T03,A,SE024A,A,0,0
177,2023.01.19,A,T02,A,SE025A,A,0,0
178,2023.01.19,A,T03,B,SE025B,B,22.286712,291.36714
179,2023.01.19,A,T05,AB,SE025A,A,5.933246,371.22545
180,2023.01.19,A,T05,AB,SE025C,C,0,0
181,2023.01.26,M,T01,AB,SE026A,A,0,0
182,2023.01.26,M,T01,AB,SE026B,B,0,0
183,2023.01.26,M,T02,A,SE026A,A,0,0
184,2023.01.26,M,T03,B,SE026B,B,0,0
185,2023.02.06,A,T01,A,SE027A,A,45.901694,345.230206
186,2023.02.06,A,T02,B,SE027B,B,70.097407,377.317356
187,2023.02.06,A,T02,AB,SE027A,A,0,0
188,2023.02.06,A,T03,AB,SE027B,B,22.701312,490.049825
189,2023.02.07,A,T01,A,SE028A,A,76.347254,342.573335
190,2023.02.07,A,T02,B,SE028B,B,29.082678,335.611623
191,2023.02.07,A,T03B,AC,SE028A,A,42.639064,407.692409
192,2023.02.07,A,T03B,AC,SE028C,C,0,0
193,2023.02.07,A,T04,BC,SE028B,B,13.290452,419.754938
194,2023.02.07,A,T04,BC,SE028C,C,22.492969,428.976858
195,2023.02.07,A,T05,AB,SE028A,A,21.377371,413.949285
196,2023.02.07,A,T05,AB,SE028B,B,34.333661,426.901298
197,2023.02.07,A,T06,C,SE028C,C,38.2627,296.788912
198,2023.02.08,A,T01,AB,SE029A,A,33.58157,417.674326
199,2023.02.08,A,T02,AB,SE029B,B,0,0
200,2023.02.08,A,T03,C,SE029C,C,0,0
201,2023.02.08,A,T03,B,SE029B,B,44.921611,329.066125
202,2023.02.08,A,T04,A,SE029A,A,21.261507,292.309262
203,2023.02.08,A,T04,BC,SE029B,B,0,0
204,2023.02.08,A,T05,BC,SE029C,C,25.757636,411.053706
205,2023.02.08,A,T05,AC,SE029A,A,0,0
206,2023.02.08,A,T06,AC,SE029C,C,53.734447,389.587449
207,2023.02.15,M,T01,AC,SE030A,A,51.061478,410.933085
208,2023.02.15,M,T01,AC,SE030C,C,0,0
209,2023.02.15,M,T02,B,SE030B,B,0,0
210,2023.02.15,M,T03,AB,SE030A,A,0,0
211,2023.02.15,M,T03,AB,SE030B,B,0,0
212,2023.02.15,M,T04,A,SE030A,A,0,0
213,2023.02.15,M,T05,C,SE030C,C,0,0
214,2023.02.15,M,T06,BC,SE030B,B,0,0
215,2023.02.15,M,T06,BC,SE030C,C,11.609322,362.049374
216,2023.02.15,A,T01,A,SE031A,A,6.793455,283.61596
217,2023.02.15,A,T02,B,SE031B,B,14.802198,280.884607
218,2023.02.15,A,T03,AB,SE031A,A,29.153413,386.431216
219,2023.02.15,A,T04,AB,SE031B,B,0,0
220,2023.02.27,A,T01,B,SE032B,B,19.957663,303.024131
221,2023.02.27,A,T02,A,SE032A,A,10.974581,285.341593
222,2023.02.27,A,T03,AB,SE032A,A,0,0
223,2023.02.27,A,T03,AB,SE032B,B,0,0
224,2023.03.09,A,T01,BC,SE033B,B,15.629571,426.788975
225,2023.03.09,A,T01,BC,SE033C,C,99.009536,510.166207
226,2023.03.09,A,T02,A,SE033A,A,13.290079,302.241496
227,2023.03.09,A,T03,AB,SE033A,A,32.321417,397.135899
228,2023.03.09,A,T03,AB,SE033B,B,10.850366,375.657623
229,2023.03.09,A,T04,C,SE033B,B,0,0
230,2023.03.09,A,T05,B,SE033B,B,48.218279,314.577661
231,2023.03.09,A,T06,AC,SE033A,A,76.869749,463.153351
232,2023.03.09,A,T06,AC,SE033C,C,66.185392,452.468641
233,2023.03.15,A,T01,C,SE033B,B,0,0
234,2023.03.15,A,T02,B,SE034B,B,15.580282,293.062129
235,2023.03.15,A,T03,AB,SE034A,A,6.693585,373.339496
236,2023.03.15,A,T03,AB,SE034B,B,27.349246,393.994786
237,2023.03.15,A,T04,AC,SE034A,A,0,0
238,2023.03.15,A,T04,AC,SE034C,C,0,0
239,2023.03.15,A,T05,BC,SE034B,B,22.003006,385.427121
240,2023.03.15,A,T05,BC,SE034C,C,11.557937,374.981418
241,2023.03.15,A,T06,A,SE034A,A,16.7941,272.482986
242,2023.03.16,A,T01,AB,SE035A,A,10.014243,398.111714
243,2023.03.16,A,T02,AB,SE035B,B,0,0
244,2023.03.16,A,T03,BC,SE035B,B,20.504631,258.278028
245,2023.03.16,A,T03,BC,SE035C,C,0,0
246,2023.03.16,A,T04,C,SE035C,C,14.144792,368.808982
247,2023.03.16,A,T04,A,SE035A,A,0,0
248,2023.03.16,A,T05,AC,SE035A,A,26.118914,281.589454
249,2023.03.16,A,T05,AC,SE035C,C,0,0
250,2023.03.16,A,T06,B,SE035B,B,0,0
